trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.19999999999999982, 'e': 0.045959256649044204}",20,12,-25.778301747393215,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.19999999999999982, 'e': 0.0450492023935578}",20,15,9.802955220552475,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.19999999999999982, 'e': 0.04415716841969286}",30,18,21.370328140185475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.19999999999999982, 'e': 0.043282797901965896}",20,12,13.166164062348754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.19999999999999982, 'e': 0.042425741080511385}",20,6,25.18784312901102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.19999999999999982, 'e': 0.04158565512117316}",25,9,26.60444916639841,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.19999999999999982, 'e': 0.04076220397836621}",25,9,19.77935718825497,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.19999999999999982, 'e': 0.039955058260653896}",25,20,9.07359745198469,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.19999999999999982, 'e': 0.039163895098987066}",35,24,20.41264587610603,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.19999999999999982, 'e': 0.038388398017552054}",20,14,11.010553589958137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.19999999999999982, 'e': 0.0376282568071762}",25,14,19.085715592461263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.19999999999999982, 'e': 0.036883167401239994}",20,0,21.645674791427663,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.19999999999999982, 'e': 0.03615283175404641}",20,16,7.4559724722366765,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.19999999999999982, 'e': 0.03543695772159864}",20,0,22.317886498731962,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.19999999999999982, 'e': 0.03473525894473856}",35,20,15.901472899309328,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.19999999999999982, 'e': 0.034047454734599344}",20,0,31.52550060059478,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.19999999999999982, 'e': 0.03337326996032608}",35,19,29.646316228470795,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.19999999999999982, 'e': 0.03271243493901982}",20,9,18.383257885690867,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.19999999999999982, 'e': 0.03206468532786077}",30,0,37.44202917859429,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.19999999999999982, 'e': 0.03142976201836771}",20,11,14.815086059794805,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.19999999999999982, 'e': 0.030807411032751076}",20,13,12.287116820914813,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.19999999999999982, 'e': 0.0301973834223185}",20,9,20.158906821700512,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.19999999999999982, 'e': 0.029599435167892}",30,7,9.442400652189237,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.19999999999999982, 'e': 0.029013327082197053}",30,24,10.861949339030616,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.19999999999999982, 'e': 0.028438824714184505}",20,10,17.759504663066654,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.19999999999999982, 'e': 0.027875698255247015}",25,15,19.756433059763992,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.19999999999999982, 'e': 0.02732372244729256}",20,9,19.32805896789722,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.19999999999999982, 'e': 0.026782676492638175}",25,8,24.811109909530586,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.19999999999999982, 'e': 0.02625234396568796}",25,10,26.09952241370392,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
